input_type,criterion,fit_time,eval_time,accuracy,test_set
images,entropy,0.0024591952860355377,5.082249641418457e-06,0.6455,set_0
images,entropy,0.0023720634579658508,7.289767265319825e-06,0.6555,set_1
images,entropy,0.002214935600757599,4.446983337402344e-06,0.672,set_2
images,entropy,0.002201204478740692,4.413604736328125e-06,0.6245,set_3
images,entropy,0.0021778345704078672,4.9673318862915035e-06,0.594,set_4
features,entropy,0.0003008291721343994,2.2068023681640626e-06,0.663,set_0
features,entropy,0.0004684525430202484,1.3986825942993165e-06,0.6475,set_1
features,entropy,0.0005103720724582672,5.245447158813477e-06,0.6585,set_2
features,entropy,0.00024702244997024537,2.305150032043457e-06,0.6655,set_3
features,entropy,0.00024585282802581785,2.1251440048217776e-06,0.6255,set_4
images,gini,0.004947795420885086,8.554577827453613e-06,0.6605,set_0
images,gini,0.004631925612688065,7.499372959136962e-05,0.675,set_1
images,gini,0.004558518260717392,1.629197597503662e-05,0.66,set_2
images,gini,0.004354352176189423,4.915118217468262e-06,0.6335,set_3
images,gini,0.002287824362516403,4.884600639343262e-06,0.617,set_4
features,gini,0.00012834614515304566,1.0687112808227539e-06,0.657,set_0
features,gini,0.00012620806694030762,8.099079132080078e-07,0.6495,set_1
features,gini,0.0001306869387626648,8.219480514526367e-07,0.665,set_2
features,gini,0.0001294882893562317,8.330345153808594e-07,0.653,set_3
features,gini,0.00013238450884819032,8.307695388793946e-07,0.636,set_4
images,log_loss,0.002411302536725998,4.382729530334473e-06,0.6475,set_0
images,log_loss,0.0023018741011619566,4.467010498046875e-06,0.6565,set_1
images,log_loss,0.0022731830477714537,4.6256780624389645e-06,0.666,set_2
images,log_loss,0.0021827970743179322,4.213452339172363e-06,0.623,set_3
images,log_loss,0.0021821175813674927,4.711985588073731e-06,0.5975,set_4
features,log_loss,0.0001220366656780243,1.0496377944946289e-06,0.648,set_0
features,log_loss,0.00013278165459632872,8.116960525512696e-07,0.641,set_1
features,log_loss,0.00014229115843772888,8.336305618286133e-07,0.645,set_2
features,log_loss,0.00012621796131134032,8.209943771362304e-07,0.6695,set_3
features,log_loss,0.00013554495573043823,8.416175842285156e-07,0.634,set_4
